id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces
4815;30189;Appartement;93,92;103;4
4816;30189;Appartement;45;47;2
4817;30189;Appartement;57,81;57;3
4818;30189;Appartement;26,57;33;2
4819;30133;Appartement;26,93;26;1
4820;30133;Appartement;37,01;36;2
4821;30189;Appartement;41,37;41;2
4822;30123;Appartement;74,24;75;4
4823;30189;Appartement;27,65;28;1
4824;30003;Appartement;27,67;36;3
4825;30036;Maison;72,53;72;4
4826;30189;Appartement;19,65;19;1
4827;30189;Appartement;163,89;118;4
4828;30004;Appartement;68,29;68;3
4829;30133;Appartement;23,01;25;1
4830;30133;Appartement;20,06;19;1
4831;30189;Appartement;78,76;79;5
4832;30133;Appartement;115,98;129;3
4833;30189;Appartement;51,25;48;2
4834;30189;Appartement;66,21;65;3
4835;30062;Appartement;31;68;3
4836;30189;Appartement;37,46;40;2
4837;30189;Appartement;67,15;67;3
4838;30189;Appartement;62,65;63;3
4839;30189;Appartement;34,7;35;2
4840;30133;Appartement;25,02;32;2
4841;30133;Appartement;35,61;35;1
4842;30189;Appartement;23,14;22;1
4843;30189;Appartement;65,85;70;4
4844;30062;Maison;85,39;85;4
4845;30133;Appartement;26,35;26;1
4846;30189;Appartement;20,49;20;1
4847;30189;Appartement;94,3;87;4
4848;30189;Appartement;55,07;50;2
4849;30133;Appartement;32,8;32;2
4850;30133;Appartement;33,65;36;2
4851;30123;Maison;78,68;76;2
4852;30133;Appartement;43,99;40;2
4853;30189;Appartement;33,91;25;1
4854;30133;Appartement;59,42;34;2
4855;30133;Appartement;25,97;26;1
4856;30133;Appartement;18,76;19;1
4857;30062;Appartement;39,23;40;3
4858;30062;Appartement;38,18;40;3
4859;30189;Appartement;23,38;22;2
4860;30133;Appartement;20,12;21;1
4861;30189;Appartement;20,79;21;1
4862;30189;Appartement;22,82;23;1
4863;30189;Appartement;47,94;48;2
4864;30189;Appartement;61,06;66;4
4865;30189;Appartement;93,78;90;3
4866;30249;Appartement;55,98;64;3
4867;30062;Appartement;68,32;69;3
4868;30133;Appartement;41,4;36;2
4869;30003;Maison;39,23;41;3
4870;30126;Maison;742,17;40;2
4871;30189;Appartement;57,74;57;3
4872;30189;Maison;94,93;85;4
4873;30189;Appartement;17,72;19;1
4874;30060;Appartement;84,17;62;3
4875;30189;Appartement;21,98;22;1
4876;30189;Appartement;51,71;54;3
4877;30189;Appartement;62,35;63;3
4878;30189;Appartement;27,11;27;1
4879;30189;Appartement;66,48;66;4
4880;30341;Appartement;36,65;38;2
4881;30189;Appartement;53,85;53;2
4882;30189;Appartement;49,07;52;3
4883;30189;Appartement;80,07;79;3
4884;30189;Appartement;38,68;50;2
4885;30189;Appartement;73,32;73;3
4886;30189;Maison;95,92;82;4
4887;30189;Appartement;76,19;79;4
4888;30003;Maison;33,49;29;3
4889;30189;Appartement;57,5;58;3
4890;30133;Appartement;19,86;22;1
4891;30133;Appartement;13,45;13;1
4892;30133;Appartement;42,81;42;3
4893;30133;Appartement;18,09;18;1
4894;30189;Appartement;33;33;1
4895;30133;Appartement;63,45;54;2
4896;30062;Appartement;39,74;40;3
4897;30311;Appartement;44,03;46;3
4898;30189;Appartement;44,64;44;2
4899;30189;Appartement;70,49;69;3
4900;30189;Appartement;94,46;97;3
4901;30061;Appartement;114,95;60;3
4902;30189;Appartement;54,01;54;2
4903;30189;Appartement;79,89;74;4
4904;30133;Appartement;42,74;42;3
4905;30189;Appartement;71,91;76;3
4906;30133;Appartement;17,83;18;1
4907;30003;Maison;40,16;40;3
4908;30189;Appartement;64,04;60;2
4909;30133;Appartement;70,03;69;2
4910;30189;Appartement;89,1;95;4
4911;30133;Appartement;24,52;24;1
4912;30133;Maison;85,14;86;4
4913;30133;Appartement;61,85;59;3
4914;30140;Appartement;87,2;87;4
4915;30047;Appartement;45,85;58;3
4916;30189;Appartement;32,37;33;2
4917;30276;Appartement;47,41;45;2
4918;30189;Appartement;33,22;33;2
4919;30133;Appartement;20,9;20;1
4920;30020;Appartement;54,07;53;2
4921;30189;Appartement;19,97;22;1
4922;30189;Maison;118,75;111;4
4923;30189;Appartement;32,36;32;1
4924;30006;Maison;80,18;79;4
4925;30133;Appartement;46,35;35;2
4926;30356;Appartement;68,7;68;3
4927;30189;Appartement;133,7;130;5
4928;30133;Appartement;34,07;50;3
4929;30133;Appartement;71,27;34;1
4930;30309;Maison;103,4;108;4
4931;30189;Appartement;50,14;49;2
4932;30189;Maison;95,54;105;5
4933;30189;Appartement;36,93;36;2
4934;30189;Appartement;56,9;57;2
4935;30189;Appartement;82,82;82;3
4936;30133;Appartement;32,63;32;2
4937;30133;Appartement;49,27;53;4
4938;30189;Appartement;75,05;75;3
4939;30189;Appartement;61,91;62;1
4940;30189;Appartement;66,49;67;4
4941;30189;Appartement;74,78;77;3
4942;30189;Maison;116,23;135;4
4943;30003;Appartement;63,02;64;3
4944;30189;Appartement;49,48;49;2
4945;30341;Appartement;62,17;64;3
4946;30189;Appartement;56,11;56;3
4947;30189;Appartement;74,23;74;3
4948;30003;Appartement;46,88;49;3
4949;30003;Maison;106,68;105;4
4950;30003;Maison;100,91;86;4
4951;30189;Appartement;36,04;41;2
4952;30083;Maison;89,78;89;4
4953;30133;Maison;107,15;105;4
4954;30020;Appartement;53,88;53;2
4955;30189;Appartement;70,95;75;4
4956;30133;Appartement;34;31;2
4957;30133;Appartement;22,61;22;1
4958;30133;Appartement;30,13;30;2
4959;30133;Appartement;19,48;19;1
4960;30189;Appartement;95,42;98;3
4961;30189;Maison;89,79;89;4
4962;30133;Appartement;20,51;20;1
4963;30169;Appartement;65,41;65;3
4964;30133;Appartement;64,57;63;3
4965;30189;Appartement;20,01;18;1
4966;30189;Appartement;166,71;171;6
4967;30189;Appartement;28,25;27;2
4968;30133;Appartement;54,76;59;3
4969;30133;Appartement;54,82;39;2
4970;30189;Appartement;50,21;50;2
4971;30017;Appartement;23,16;22;1
4972;30189;Appartement;81,45;79;4
4973;30003;Maison;51,1;53;2
4974;30189;Appartement;82,35;117;3
4975;30133;Maison;84,66;84;4
4976;30189;Appartement;57,19;58;3
4977;30210;Maison;21,03;94;3
4978;30189;Appartement;79,13;84;5
4979;30189;Appartement;47,89;47;2
4980;30189;Appartement;31,4;35;2
4981;30189;Appartement;68,23;68;3
4982;30255;Appartement;28,91;25;1
4983;30133;Appartement;50,34;51;2
